frame# registered new_points total_cloud per_frame_ms reproj recache_ms
    0          0          0            0         0.00   0.0000       0.00
    1          0          0            0         0.00   0.0000       0.00
    2          0          0            0         0.01   0.0000       0.00
    3          0          0            0         0.00   0.0000       0.00
    4          0          0            0         0.00   0.0000       0.00
    5          0          0            0        42.54   0.0000       6.70
    6          0          0            0        24.98   0.0000       3.92
    7          0          0            0        26.41   0.0000       5.17
    8          0          0            0        46.20   0.0000       6.20
    9          0          0            0        44.71   0.0000       7.03
   10          0       1312         1312       142.38   0.5155       7.80
   11          1       3597         4909      1099.92   0.6508       0.00
   12          1         87         4996       371.84   0.6965       0.00
   13          0          0         4996         0.30   0.6965       0.00
   14          0          0         4996         0.31   0.6965       0.00
   15          0          0         4996         0.53   0.6965       0.00
   16          0          0         4996         0.33   0.6965       0.00
   17          0          0         4996         0.30   0.6965       0.00
   18          0          0         4996        17.10   0.6965      16.76
   19          0          0         4996         0.33   0.6965       0.00
   20          0          0         4996         0.55   0.6965       0.00
   21          0          0         4996         0.35   0.6965       0.00
   22          0          0         4996         0.33   0.6965       0.00
   23          0          0         4996         0.32   0.6965       0.00
   24          0          0         4996         0.30   0.6965       0.00
   25          0          0         4996         0.30   0.6965       0.00
   26          0          0         4996        24.98   0.6965      24.59
   27          0          0         4996         0.33   0.6965       0.00
   28          0          0         4996         0.32   0.6965       0.00
   29          0          0         4996         0.70   0.6965       0.00
   30          0          0         4996         0.39   0.6965       0.00
   31          0          0         4996         0.34   0.6965       0.00
   32          0          0         4996         0.35   0.6965       0.00
   33          0          0         4996         0.56   0.6965       0.00
   34          0          0         4996        32.91   0.6965      32.54
   35          0          0         4996         0.31   0.6965       0.00
   36          0          0         4996         0.31   0.6965       0.00
   37          0          0         4996         0.30   0.6965       0.00
   38          0          0         4996         0.52   0.6965       0.00
   39          0          0         4996         0.34   0.6965       0.00
   40          0          0         4996         0.33   0.6965       0.00
   41          0          0         4996         0.33   0.6965       0.00
   42          0          0         4996        39.01   0.6965      38.63
   43          0          0         4996         0.31   0.6965       0.00
   44          0          0         4996         0.32   0.6965       0.00
   45          0          0         4996         0.31   0.6965       0.00
   46          0          0         4996         0.31   0.6965       0.00
   47          0          0         4996         0.31   0.6965       0.00
   48          0          0         4996         0.53   0.6965       0.00
   49          0          0         4996         0.32   0.6965       0.00
