id	file	line	kind	status	code	text
COPY_4ae7310a3b2c	App/Aether3DApp.swift	231	source_literal	needs_translation	"return ""上传已中断"""	
COPY_09226d5d2b3d	App/Aether3DApp.swift	233	source_literal	needs_translation	"return ""回传到手机时失败了"""	
COPY_6e7ae0de689d	App/Aether3DApp.swift	235	source_literal	needs_translation	"return ""远端等待超时"""	
COPY_93fee49fe783	App/Aether3DApp.swift	237	source_literal	needs_translation	"return ""远端生成失败"""	
COPY_bc62a420f5f6	App/Aether3DApp.swift	244	source_literal	needs_translation	"return ""后台刷新时连接远端超时了。"""	
COPY_d8b724df04be	App/Aether3DApp.swift	246	source_literal	needs_translation	"return ""后台刷新发现上传没有完成。"""	
COPY_de4164ee155c	App/Aether3DApp.swift	248	source_literal	needs_translation	"return ""远端已经完成，但回传手机时失败了；我会继续尝试恢复。"""	
COPY_29d261057ae2	App/Aether3DApp.swift	250	source_literal	needs_translation	"return ""远端训练长时间没有推进，后台刷新停止了这次恢复。"""	
COPY_e48f1a820fbb	App/Aether3DApp.swift	252	source_literal	needs_translation	"return ""后台刷新暂时连不上正式 control-plane。"""	
COPY_3bed32a9bb7b	App/Aether3DApp.swift	254	source_literal	needs_translation	"return ""这次素材暂时无法继续恢复。"""	
COPY_699318803560	App/Aether3DApp.swift	256	source_literal	needs_translation	"return ""远端显存不足，后台刷新无法自动恢复。"""	
COPY_12c518c2ecb4	App/Aether3DApp.swift	258	source_literal	needs_translation	"return ""后台刷新拿到了异常结果。"""	
COPY_5271a368ee2b	App/Aether3DApp.swift	314	source_literal	needs_translation	"statusMessage: ""回传到手机时失败了"","	
COPY_83da16bc9e6a	App/Aether3DApp.swift	315	source_literal	needs_translation	"detailMessage: ""后台下载已经完成，但落地本地文件失败了。"","	
COPY_df63dcd9cbc2	App/Home/HomePage.swift	87	bilingual_pair	paired	"t(""刚才没有成功"", ""That Just Failed"")"	That Just Failed
COPY_716deb1a8560	App/Home/HomePage.swift	94	bilingual_pair	paired	"t(""处理中"", ""In Progress"")"	In Progress
COPY_fbc4b364794d	App/Home/HomePage.swift	100	bilingual_pair	paired	"t(""已取消，可重发"", ""Cancelled, Ready to Resend"")"	Cancelled, Ready to Resend
COPY_931e1658d435	App/Home/HomePage.swift	101	bilingual_pair	paired	"t(""这些任务已经停下来了，原始视频仍保留在手机里，随时可以按原处理方案重新发起。"", ""These jobs have stopped. The original videos are still on your phone, so you can resend them with the same processing setup at any time."")"	These jobs have stopped. The original videos are still on your phone, so you can resend them with the same processing setup at any time.
COPY_2331128fc51e	App/Home/HomePage.swift	109	bilingual_pair	paired	"t(""需要你处理"", ""Needs Attention"")"	Needs Attention
COPY_e0f3815ac7d6	App/Home/HomePage.swift	110	bilingual_pair	paired	"t(""这些任务没有拿到可用结果。你可以点开查看原因，再决定重试还是删除。"", ""These jobs did not produce a usable result. Open them to review the reason, then decide whether to retry or delete."")"	These jobs did not produce a usable result. Open them to review the reason, then decide whether to retry or delete.
COPY_7dc2eae42a1b	App/Home/HomePage.swift	117	bilingual_pair	paired	"t(""已完成作品"", ""Completed Results"")"	Completed Results
COPY_094454810a5f	App/Home/HomePage.swift	131	bilingual_pair	paired	"t(""正在加载作品"", ""Loading Results"")"	Loading Results
COPY_bfe652b59fec	App/Home/HomePage.swift	131	bilingual_pair	paired	"t(""请稍候..."", ""Please wait..."")"	Please wait...
COPY_fc0100454a05	App/Home/HomePage.swift	135	bilingual_pair	paired	"t(""这一步完成后会自动进入等待页。"", ""You will enter the waiting screen automatically after this step finishes."")"	You will enter the waiting screen automatically after this step finishes.
COPY_d57c530d08ac	App/Home/HomePage.swift	205	bilingual_pair	paired	"t(""正在读取相册视频（大视频可能需要几分钟）..."", ""Reading the video from Photos (large files may take a few minutes)..."")"	Reading the video from Photos (large files may take a few minutes)...
COPY_93fb74cd5635	App/Home/HomePage.swift	229	bilingual_pair	paired	"t(""相册视频已经选中，但没有成功进入上传流程，请再试一次。"", ""The video was selected, but it did not enter the upload flow successfully. Please try again."")"	The video was selected, but it did not enter the upload flow successfully. Please try again.
COPY_0acc9482e7bd	App/Home/HomePage.swift	245	bilingual_pair	paired	"t(""相册视频读取失败"", ""Failed to read the selected video"")"	Failed to read the selected video
COPY_1ed2f5451aea	App/Home/HomePage.swift	300	bilingual_pair	paired	"t(""取消远端任务"", ""Cancel Remote Job"")"	Cancel Remote Job
COPY_5e412b6031a9	App/Home/HomePage.swift	310	bilingual_pair	paired	"t(""重新运行本地处理"", ""Run Local Processing Again"")"	Run Local Processing Again
COPY_9a7eeb9ed626	App/Home/HomePage.swift	311	bilingual_pair	paired	"t(""重试远端"", ""Retry Remote"")"	Retry Remote
COPY_65a5f3306dc7	App/Home/HomePage.swift	323	bilingual_pair	paired	"t(""重新运行本地处理"", ""Run Local Processing Again"")"	Run Local Processing Again
COPY_e24c653a143b	App/Home/HomePage.swift	324	bilingual_pair	paired	"t(""重新发送到丹麦 5090"", ""Resend to Denmark 5090"")"	Resend to Denmark 5090
COPY_cd23c73d2aee	App/Home/HomePage.swift	333	bilingual_pair	paired	"t(""删除"", ""Delete"")"	Delete
COPY_230b9feda5af	App/Home/HomePage.swift	346	bilingual_pair	paired	"t(""尚无扫描作品"", ""No Scans Yet"")"	No Scans Yet
COPY_48737b22dbf6	App/Home/HomePage.swift	350	bilingual_pair	paired	"t(""你可以直接拍摄，也可以先选一个已有视频，按远端高质量或本地处理两条方案处理。"", ""You can start recording right away, or choose an existing video and process it with either remote high quality or local processing."")"	You can start recording right away, or choose an existing video and process it with either remote high quality or local processing.
COPY_bdd43aa3bfe7	App/Home/HomePage.swift	405	bilingual_pair	paired	"t(""任务正在处理中"", ""Jobs Are Running"")"	Jobs Are Running
COPY_7e35cfedbcfd	App/Home/HomePage.swift	408	bilingual_pair	paired	"t(""本地任务正在处理"", ""Local Jobs Are Running"")"	Local Jobs Are Running
COPY_acee76c839da	App/Home/HomePage.swift	410	bilingual_pair	paired	"t(""远端任务正在进行"", ""Remote Jobs Are Running"")"	Remote Jobs Are Running
COPY_01b3adb91669	App/Home/HomePage.swift	415	bilingual_pair	paired	"t(""有的作品在手机本地处理，有的作品在远端处理。你可以随时点开查看等待页，也可以先回主页稍后再看。"", ""Some results are processing on the phone and some are processing remotely. You can open any waiting screen at any time, or come back later."")"	Some results are processing on the phone and some are processing remotely. You can open any waiting screen at any time, or come back later.
COPY_f6597e988495	App/Home/HomePage.swift	418	bilingual_pair	paired	"t(""本地方案会继续在手机上处理。你可以点开查看等待页，也可以先回主页稍后再看。"", ""The local pipeline will keep running on your phone. You can open the waiting screen now, or come back later."")"	The local pipeline will keep running on your phone. You can open the waiting screen now, or come back later.
